Date,DHW Demand(GWh),Heating Demand(GWh),Heating COP, DHW COP, Temperature (C)
2014-05-01,216.0,242.43646756897834,4.447810562664765,2.298727854149738,9.728991460658206
2014-05-02,216.0,366.87925129677325,4.287027219126895,2.287469109042552,8.571507829566906
2014-05-03,216.0,446.73386950688706,4.184494057067275,2.280811365308863,7.812485958318181
2014-05-04,216.0,346.24865245507885,4.464512989905877,2.299057714123014,9.882821334138308
2014-05-05,216.0,239.40988597173686,4.580884174803177,2.307482307036654,10.709549466565598
2014-05-06,216.0,76.01144819848969,4.710088311405675,2.3188158719897696,11.6950643565274
2014-05-07,216.0,129.8915739108887,4.5931325592759285,2.3087271136408045,10.782241047127107
2014-05-08,216.0,143.71305486621355,4.677047082561003,2.315053749554723,11.368700007394384
2014-05-09,216.0,128.6610496111423,4.653385000912088,2.313404048621894,11.213963546520878
2014-05-10,216.0,140.74750748553754,4.633112593858401,2.3117175963381493,11.062422085058015
2014-05-11,216.0,245.6352724057278,4.471279359286649,2.29949438426377,9.933018222315647
2014-05-12,216.0,297.07992274266127,4.43085362801453,2.296748579633712,9.63859309479683
2014-05-13,216.0,281.47007342132224,4.4409119391544145,2.297414667113748,9.712532706994267
2014-05-14,216.0,94.34583119549123,4.618002167024193,2.310374477418125,10.965042573516971
2014-05-15,216.0,16.83595502930909,4.819549867091095,2.3329079072583836,12.85851797676339
2014-05-16,216.0,3.2229290164414284,4.834040761706721,2.3528426321214284,14.289513691198664
2014-05-17,216.0,7.266769425929766,4.826683631303648,2.36046450079163,14.770911887597473
2014-05-18,216.0,9.405888027122373,4.83011972452745,2.3577827125849677,14.630298344764297
2014-05-19,216.0,1.4161112031040788,4.839601153863448,2.3694459962230434,15.404016035216637
2014-05-20,216.0,1.009666900483754,4.832307193414414,2.3499379645753167,14.095903081528416
2014-05-21,216.0,1.5696074200612644,4.831716427727734,2.33518150101461,13.03603219935933
2014-05-22,216.0,34.596241378681334,4.698830671239296,2.323599711446174,12.006267029688871
2014-05-23,216.0,82.13451496163361,4.70724598576012,2.3197132956289934,11.71543814754732
2014-05-24,216.0,126.2683434143132,4.6407652486401565,2.3123258306109715,11.136035021609636
2014-05-25,216.0,65.03883157258848,4.723053057751019,2.319331962739229,11.747274878511993
2014-05-26,216.0,31.404276237636928,4.7431031998840965,2.321798097866967,11.955301030418884
2014-05-27,216.0,34.819075948290504,4.731520385411795,2.3207468766135086,11.86565387557989
2014-05-28,216.0,88.04141972991603,4.716012930364658,2.3198868929338006,11.78168196995934
2014-05-29,216.0,76.35704327297128,4.747709646457114,2.330569690558839,12.59736718729213
2014-05-30,216.0,34.609484532007585,4.767566240220142,2.328053276310181,12.447737708752287
2014-05-31,216.0,0.09171414551801157,4.836507250777871,2.3387365569594882,13.307760055307362
2014-06-01,216.0,0.13917158267487265,4.841634821902431,2.353844808669952,14.385663541193136
