Date,Demand
2019-07-15,18.024144416666665
2019-07-16,16.968026833333333
2019-07-17,17.265744916666666
2019-07-18,17.652031666666666
2019-07-19,17.321270458333334
2019-07-20,14.759800625
2019-07-21,14.345570958333333
2019-07-22,15.502933541666666
2019-07-23,15.487549875
2019-07-24,15.493001708333333
2019-07-25,15.495569375
2019-07-26,15.497793958333334
2019-07-27,13.690929333333333
2019-07-28,14.40080625
2019-07-29,15.78904825
2019-07-30,15.956604166666667
2019-07-31,16.158573
2019-08-01,16.010534875
2019-08-02,15.804191166666667
2019-08-03,13.76591925
2019-08-04,13.776596833333333
2019-08-05,16.8608455
2019-08-06,17.207254083333332
2019-08-07,17.501044875
2019-08-08,17.182680541666667
2019-08-09,16.54593325
2019-08-10,15.24755875
2019-08-11,16.569722708333334
